Date;Series1
2019-11-05 16:30:24.727;2.81
2019-11-05 16:30:24.820;2.79
2019-11-05 16:30:24.883;2.79
2019-11-05 16:30:24.947;2.79
2019-11-05 16:30:25.040;2.79
2019-11-05 16:30:25.120;2.79
2019-11-05 16:30:25.290;2.79
2019-11-05 16:30:25.383;2.79
2019-11-05 16:30:25.477;2.79
2019-11-05 16:30:25.540;2.79
2019-11-05 16:30:25.620;2.79
2019-11-05 16:30:25.667;2.79
2019-11-05 16:30:25.760;2.75
2019-11-05 16:30:25.807;2.79
2019-11-05 16:30:25.853;2.79
2019-11-05 16:30:25.900;2.75
2019-11-05 16:30:25.963;2.79
2019-11-06 08:11:15.393;2.81
2019-11-06 08:11:15.407;2.81
2019-11-06 08:11:15.407;2.81
2019-11-06 08:11:15.407;2.81
2019-11-06 08:11:15.423;2.81
2019-11-06 08:11:15.423;2.81
2019-11-06 08:11:15.423;2.81
2019-11-06 08:11:15.440;2.81
2019-11-06 08:11:15.440;2.81
2019-11-06 08:11:15.440;2.81
2019-11-06 08:11:15.440;2.81
2019-11-06 08:11:15.453;2.81
2019-11-06 08:11:15.453;2.81
2019-11-06 08:11:15.453;2.81
2019-11-06 08:11:48.063;2.81
2019-11-06 08:11:48.080;2.81
2019-11-06 08:11:48.080;2.81
2019-11-06 08:11:48.093;2.81
2019-11-06 08:11:48.093;2.81
2019-11-06 08:11:48.093;2.81
2019-11-06 08:11:48.093;2.81
2019-11-06 08:11:48.110;2.81
2019-11-06 08:11:48.110;2.81
2019-11-06 08:11:48.127;2.81
2019-11-06 08:11:48.127;2.81
2019-11-06 08:11:48.127;2.81
2019-11-06 08:11:48.127;2.81
2019-11-06 08:11:48.140;2.79
2019-11-06 08:11:48.140;2.81
2019-11-06 08:11:48.140;2.79
2019-11-06 08:11:48.157;2.79
2019-11-06 08:11:48.157;2.81
2019-11-06 08:11:48.173;2.79
2019-11-06 08:11:48.173;2.81
2019-11-06 08:11:48.173;2.79
2019-11-06 08:11:48.173;2.79
2019-11-06 08:11:48.190;2.79
2019-11-06 08:11:48.190;2.79
2019-11-06 08:11:48.190;2.79
2019-11-06 08:11:48.267;2.79
2019-11-06 08:11:48.343;2.79
2019-11-06 08:11:48.423;2.79
2019-11-06 08:11:48.500;2.79
2019-11-06 08:11:48.580;2.79
2019-11-06 08:11:48.673;2.79
2019-11-06 08:11:48.843;2.75
2019-11-06 08:11:48.923;2.79
2019-11-06 08:11:49.000;2.79
2019-11-06 08:11:49.093;2.75
2019-11-06 08:11:49.173;2.79
2019-11-06 08:11:49.237;2.77
2019-11-06 08:11:49.343;2.77
2019-11-06 08:11:49.500;2.79
2019-11-06 08:11:49.673;2.77
2019-11-06 08:11:49.767;2.79
2019-11-06 08:11:49.843;2.77
2019-11-06 08:11:49.940;2.77
2019-11-06 08:11:50.000;2.77
2019-11-06 08:11:50.173;2.77
2019-11-06 08:11:50.440;2.77
2019-11-06 08:11:50.500;2.77
2019-11-06 08:11:50.593;2.77
2019-11-06 08:11:50.703;2.77
2019-11-06 08:11:50.813;2.77
2019-11-06 08:11:50.890;2.79
2019-11-06 08:11:51.017;2.77
2019-11-06 08:11:51.127;2.79
2019-11-06 08:11:51.190;2.77
2019-11-06 08:11:51.283;2.77
2019-11-06 08:11:51.377;2.77
2019-11-06 08:11:51.440;2.77
2019-11-06 08:11:51.593;2.77
2019-11-06 08:11:51.657;2.77
2019-11-06 08:11:51.750;2.77
2019-11-06 08:11:51.843;2.77
2019-11-06 08:11:51.940;2.79
2019-11-06 08:11:52.033;2.77
2019-11-06 08:11:52.190;2.77
2019-11-06 08:11:52.283;2.79
2019-11-06 08:11:52.360;2.77
2019-11-06 08:11:52.440;2.79
2019-11-06 08:11:52.550;2.77
2019-11-06 08:11:52.627;2.77
2019-11-06 08:11:52.800;2.77
2019-11-06 08:11:53.033;2.77
2019-11-06 08:11:53.140;2.77
2019-11-06 08:11:53.190;2.77
2019-11-06 08:11:53.237;2.79
2019-11-06 08:11:53.283;2.77
2019-11-06 08:11:53.423;2.79
2019-11-06 08:11:53.563;2.77
2019-11-06 08:11:53.640;2.77
2019-11-06 08:11:53.703;2.79
2019-11-06 08:11:53.783;2.79
2019-11-06 08:11:53.940;2.79
2019-11-06 08:11:54.390;2.79
2019-11-06 08:11:54.500;2.79
2019-11-06 08:11:54.750;2.79
2019-11-06 08:11:54.830;2.79
2019-11-06 08:11:54.890;2.79
2019-11-06 08:11:55.063;2.79
2019-11-06 08:11:55.140;2.79
2019-11-06 08:11:55.237;2.79
2019-11-06 08:11:55.313;2.79
2019-11-06 08:11:55.407;2.77
2019-11-06 08:11:55.517;2.77
2019-11-06 08:11:55.673;2.79
2019-11-06 08:11:55.907;2.77
2019-11-06 08:11:55.953;2.79
2019-11-06 08:11:56.063;2.79
2019-11-06 08:11:56.140;2.79
2019-11-06 08:11:56.237;2.79
2019-11-06 08:11:56.313;2.79
2019-11-06 08:11:56.470;2.79
2019-11-06 08:11:56.547;2.79
2019-11-06 08:11:56.657;2.79
2019-11-06 08:11:56.737;2.79
2019-11-06 08:11:56.843;2.79
2019-11-06 08:11:56.923;2.77
2019-11-06 08:11:57.157;2.79
2019-11-06 08:11:57.237;2.77
2019-11-06 08:11:57.390;2.79
2019-11-06 08:11:57.500;2.77
2019-11-06 08:11:57.580;2.79
2019-11-06 08:11:57.690;2.79
2019-11-06 08:11:57.797;2.79
2019-11-06 08:11:57.970;2.79
2019-11-06 08:11:58.157;2.79
2019-11-06 08:11:58.267;2.79
2019-11-06 08:11:58.343;2.79
2019-11-06 08:11:58.547;2.79
2019-11-06 08:11:58.797;2.79
2019-11-06 08:11:58.953;2.79
2019-11-06 08:11:59.080;2.79
2019-11-06 08:11:59.140;2.79
2019-11-06 08:11:59.250;2.79
2019-11-06 08:11:59.360;2.79
2019-11-06 08:11:59.440;2.79
2019-11-06 08:11:59.533;2.79
2019-11-06 08:11:59.593;2.79
2019-11-06 08:11:59.783;2.79
2019-11-06 08:11:59.860;2.79
2019-11-06 08:12:00.080;2.79
2019-11-06 08:12:00.173;2.79
2019-11-06 08:12:00.267;2.79
2019-11-06 08:12:00.360;2.79
2019-11-06 08:12:00.487;2.79
2019-11-06 08:12:00.593;2.79
2019-11-06 08:12:00.767;2.79
2019-11-06 08:12:00.890;2.79
2019-11-06 08:12:01.000;2.79
2019-11-06 08:12:01.110;2.79
2019-11-06 08:12:01.237;2.79
2019-11-06 08:12:01.407;2.79
2019-11-06 08:12:01.563;2.79
2019-11-06 08:12:01.703;2.79
2019-11-06 08:12:01.860;2.79
2019-11-06 08:12:01.953;2.79
2019-11-06 08:12:02.033;2.79
2019-11-06 08:12:02.127;2.77
2019-11-06 08:12:02.283;2.77
2019-11-06 08:12:02.423;2.79
2019-11-06 08:12:02.517;2.77
2019-11-06 08:12:02.640;2.77
2019-11-06 08:12:02.673;2.77
2019-11-06 08:12:02.720;2.77
2019-11-06 08:12:02.750;2.79
2019-11-06 08:12:02.923;2.79
2019-11-06 08:21:03.983;2.79
2019-11-06 08:21:03.983;2.79
2019-11-06 08:21:03.997;2.79
2019-11-06 08:21:03.997;2.79
2019-11-06 08:21:04.013;2.79
2019-11-06 08:21:04.013;2.79
2019-11-06 08:21:04.013;2.79
2019-11-06 08:21:04.030;2.77
2019-11-06 08:21:04.030;2.77
2019-11-06 08:21:04.043;2.77
2019-11-06 08:21:04.043;2.77
2019-11-06 08:21:04.077;2.77
2019-11-06 08:21:04.090;2.77
2019-11-06 08:21:04.090;2.77
2019-11-06 08:21:04.107;2.77
2019-11-06 08:21:04.107;2.77
2019-11-06 08:21:04.123;2.77
2019-11-06 08:21:04.153;2.77
2019-11-06 08:21:04.153;2.75
2019-11-06 08:21:04.170;2.77
2019-11-06 08:21:04.187;2.77
2019-11-06 08:21:04.187;2.77
2019-11-06 08:21:04.217;2.73
2019-11-06 08:21:04.217;2.75
2019-11-06 08:21:04.233;2.73
2019-11-06 08:21:04.247;2.75
2019-11-06 08:21:04.247;2.75
2019-11-06 08:21:04.263;2.75
2019-11-06 08:21:04.280;2.75
2019-11-06 08:21:04.327;2.75
